,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
1191,790.0,89.76,89.76,700.24
1192,790.0,72.34,72.34,717.66
1193,852.0,150.44,150.44,701.56
1194,755.0,53.71,53.71,701.29
1195,852.0,108.81,108.81,743.19
1196,2400.0,472.22,472.22,5783.35
1197,620.2,170.55,170.55,449.65
1198,1642.35,0.0,463.36,2357.99
1199,8121.2,0.0,3280.08,4841.12
1200,742.45,166.83,166.83,575.62
1201,1208.25,93.2,93.2,1115.05
1202,1208.25,93.2,93.2,1115.05
1203,2529.4,663.12,663.12,14930.23
1204,608.36,0.0,44.13,2256.94
1205,636.38,0.0,42.57,2375.24
1206,1070.6,0.0,175.33,1790.53
1207,462.0,300.0,300.0,648.0
1208,125.0,48.2,48.2,153.61
1209,545.0,0.0,38.42,1013.16
1210,585.0,53.33,53.33,1063.35
1211,488.0,126.71,126.71,722.57
1212,1098.74,235.35,235.35,5180.34
1213,1177.25,277.2,277.2,900.05
1214,601.5,145.23,145.23,456.27
1215,5901.45,1047.18,1047.18,4854.27
1216,691.7,265.64,265.64,852.13
1217,521.04,205.2,205.2,1263.34
1218,350.41,125.68,125.68,898.92
1219,378.26,99.22,99.22,558.07
1220,132.06,0.0,21.33,2214.65
1221,155.0,78.68,78.68,76.32
1222,4769.0,1931.62,1931.62,2837.38
1223,745.69,78.38,78.38,667.31
1224,1089.35,332.12,332.12,757.23
1225,1089.35,332.12,332.12,757.23
1226,18869.0,1721.28,1721.28,68590.88
1227,768.5,63.09,63.09,705.41
1228,155.0,62.95,62.95,184.09
1229,623.37,69.55,69.55,1107.63
1230,153.25,62.95,62.95,90.3
1231,691.68,265.64,265.64,852.09
1232,429.25,81.99,81.99,347.26
1233,986.0,0.0,235.75,4501.5
1234,545.0,63.37,63.37,1926.53
1235,1075.31,521.55,521.55,553.76
1236,175.31,76.08,76.08,1488.5
1237,611.8,211.36,211.36,1201.31
1238,9499.6,0.0,544.48,8955.12
1239,155.0,62.95,62.95,92.05
1240,120.0,48.2,48.2,71.8
1241,753.5,127.11,127.11,3758.32
1242,812.93,0.0,145.02,1335.83
1243,1364.0,0.0,0.0,1364.0
1244,155.0,62.95,62.95,368.19
1245,792.11,131.45,131.45,6606.56
1246,798.79,137.63,137.63,4628.15
1247,984.15,0.0,203.69,19511.55
1248,699.47,126.29,126.29,573.18
1249,669.55,98.82,98.82,2282.9
1250,669.55,112.34,112.34,2228.84
1251,669.55,99.83,99.83,3418.35
1252,2481.59,0.0,0.0,4963.18
1253,17450.0,0.2,0.2,17449.8
1254,155.0,51.36,51.36,207.29
1255,190.0,68.2,68.2,243.59
1256,2566.15,1164.2,1164.2,2803.9
1257,2042.41,0.0,663.74,5514.68
1258,486.0,18.45,18.45,467.55
1259,1532.05,339.91,339.91,2384.29
1260,4810.0,0.0,442.5,13102.49
1261,1800.18,676.87,676.87,12356.38
1262,462.0,278.0,278.0,184.0
1263,325.0,96.83,96.83,228.17
